sr_no,underlying,symbol
150,Pidilite Industries Limited,PIDILITIND
151,Piramal Pharma Limited,PPLPHARMA
152,Polycab India Limited,POLYCAB
153,Power Finance Corporation Limited,PFC
154,Power Grid Corporation of India Limited,POWERGRID
155,Premier Energies Limited,PREMIERENE
156,Prestige Estates Projects Limited,PRESTIGE
157,Punjab National Bank,PNB
158,RBL Bank Limited,RBLBANK
159,REC Limited,RECLTD
160,Rail Vikas Nigam Limited,RVNL
161,Reliance Industries Limited,RELIANCE
162,SBI Cards and Payment Services Limited,SBICARD
163,SBI Life Insurance Company Limited,SBILIFE
164,SHREE CEMENT LIMITED,SHREECEM
165,SRF Limited,SRF
166,Sammaan Capital Limited,SAMMAANCAP
167,Samvardhana Motherson International Limited,MOTHERSON
168,Shriram Finance Limited,SHRIRAMFIN
169,Siemens Limited,SIEMENS
170,Solar Industries India Limited,SOLARINDS
171,Sona BLW Precision Forgings Limited,SONACOMS
172,State Bank of India,SBIN
173,Steel Authority of India Limited,SAIL
174,Sun Pharmaceutical Industries Limited,SUNPHARMA
175,Supreme Industries Limited,SUPREMEIND
176,Suzlon Energy Limited,SUZLON
177,Swiggy Limited,SWIGGY
178,Syngene International Limited,SYNGENE
179,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
180,TVS Motor Company Limited,TVSMOTOR
181,Tata Consultancy Services Limited,TCS
182,Tata Elxsi Limited,TATAELXSI
183,Tata Motors Passenger Vehicles Limited,TMPV
184,Tata Power Company Limited,TATAPOWER
185,Tata Steel Limited,TATASTEEL
186,Tata Technologies Limited,TATATECH
187,Tech Mahindra Limited,TECHM
188,The Federal Bank Limited,FEDERALBNK
189,The Indian Hotels Company Limited,INDHOTEL
190,The Phoenix Mills Limited,PHOENIXLTD
191,Titan Company Limited,TITAN
192,Torrent Pharmaceuticals Limited,TORNTPHARM
193,Torrent Power Limited,TORNTPOWER
194,Trent Limited,TRENT
195,Tube Investments of India Limited,TIINDIA
196,UNO Minda Limited,UNOMINDA
197,UPL Limited,UPL
198,UltraTech Cement Limited,ULTRACEMCO
199,Union Bank of India,UNIONBANK
200,United Spirits Limited,UNITDSPR
201,Varun Beverages Limited,VBL
202,Vedanta Limited,VEDL
203,Vodafone Idea Limited,IDEA
204,Voltas Limited,VOLTAS
205,Waaree Energies Limited,WAAREEENER
206,Wipro Limited,WIPRO
207,Yes Bank Limited,YESBANK
208,Zydus Lifesciences Limited,ZYDUSLIFE
